Time,UUID,LocalName,RSSI,MedianRSSI
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-59,-59
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-59,-59
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-51,-59
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-51,-59
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-51,-59
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-50,-51
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-67,-51
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-68,-51
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-69,-51
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-71,-67
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-54,-67
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-54,-67
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-54,-67
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-54,-54
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-51,-54
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-51,-54
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-51,-54
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-70,-51
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-70,-51
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-70,-51
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-68,-68
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-69,-69
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-54,-69
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-54,-69
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-54,-68
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-54,-54
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-54,-54
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-54,-54
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-54,-54
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-54,-54
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-50,-54
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-50,-54
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-50,-54
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-65,-54
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-66,-54
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-68,-54
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-68,-65
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-66,-66
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-55,-66
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-55,-66
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-55,-66
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-55,-55
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-55,-55
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-50,-55
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-50,-55
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-50,-55
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-65,-55
2014-09-19T14:28:09+02:00,69c40a6102c6,0,-66,-55
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-65,-55
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-54,-54
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-54,-54
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-54,-54
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-54,-54
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-54,-54
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-54,-54
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-54,-54
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-54,-54
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-55,-54
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-50,-54
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-50,-54
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-50,-54
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-50,-50
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-50,-50
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-50,-50
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-51,-50
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-66,-50
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-64,-50
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-65,-51
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-66,-64
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-66,-65
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-66,-66
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-65,-66
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-64,-65
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-66,-66
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-55,-66
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-55,-65
2014-09-19T14:28:10+02:00,69c40a6102c6,0,-55,-64
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-55,-55
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-55,-55
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-55,-55
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-50,-55
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-50,-55
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-50,-55
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-50,-50
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-66,-50
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-66,-50
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-66,-50
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-55,-55
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-55,-55
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-50,-55
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-50,-55
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-64,-55
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-67,-55
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-67,-55
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-67,-64
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-65,-65
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-65,-65
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-65,-65
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-65,-65
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-55,-65
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-55,-65
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-55,-65
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-55,-55
2014-09-19T14:28:11+02:00,69c40a6102c6,0,-55,-55
2014-09-19T14:28:12+02:00,69c40a6102c6,0,-54,-55
2014-09-19T14:28:12+02:00,69c40a6102c6,0,-54,-55
2014-09-19T14:28:12+02:00,69c40a6102c6,0,-54,-55
2014-09-19T14:28:12+02:00,69c40a6102c6,0,-54,-54
2014-09-19T14:28:12+02:00,69c40a6102c6,0,-49,-54
2014-09-19T14:28:12+02:00,69c40a6102c6,0,-50,-54
2014-09-19T14:28:12+02:00,69c40a6102c6,0,-50,-54
2014-09-19T14:28:12+02:00,69c40a6102c6,0,-50,-50
2014-09-19T14:28:12+02:00,69c40a6102c6,0,-66,-50
2014-09-19T14:28:12+02:00,69c40a6102c6,0,-64,-50
2014-09-19T14:28:12+02:00,69c40a6102c6,0,-64,-50
2014-09-19T14:28:12+02:00,69c40a6102c6,0,-55,-55
2014-09-19T14:28:12+02:00,69c40a6102c6,0,-55,-55
2014-09-19T14:28:12+02:00,69c40a6102c6,0,-55,-55
2014-09-19T14:28:12+02:00,69c40a6102c6,0,-55,-55
2014-09-19T14:28:12+02:00,69c40a6102c6,0,-51,-55
2014-09-19T14:28:12+02:00,69c40a6102c6,0,-51,-55
2014-09-19T14:28:12+02:00,69c40a6102c6,0,-51,-55
2014-09-19T14:28:12+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:28:12+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:28:12+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:28:12+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:28:12+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:28:12+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:28:12+02:00,69c40a6102c6,0,-66,-51
